peak_name,year,season,sex,success,died,injury_type
Ama Dablam,1978,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1978,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1978,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1978,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1978,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1978,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1978,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1978,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Spring,M,FALSE,FALSE,NA
Ama Dablam,1979,Spring,M,TRUE,FALSE,NA
Ama Dablam,1979,Spring,M,TRUE,FALSE,NA
Ama Dablam,1979,Spring,M,FALSE,FALSE,NA
Ama Dablam,1979,Spring,M,FALSE,FALSE,NA
Ama Dablam,1979,Spring,M,FALSE,FALSE,NA
Ama Dablam,1979,Spring,M,FALSE,FALSE,NA
Ama Dablam,1979,Spring,M,TRUE,FALSE,NA
Ama Dablam,1979,Spring,M,FALSE,FALSE,NA
Ama Dablam,1979,Spring,M,TRUE,FALSE,NA
Ama Dablam,1979,Spring,M,TRUE,FALSE,NA
Ama Dablam,1979,Spring,M,TRUE,FALSE,NA
Ama Dablam,1979,Spring,M,TRUE,FALSE,NA
Ama Dablam,1979,Spring,M,FALSE,FALSE,NA
Ama Dablam,1979,Spring,M,TRUE,FALSE,NA
Ama Dablam,1979,Spring,M,TRUE,FALSE,NA
Ama Dablam,1979,Spring,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,F,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,F,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,F,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,F,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,Avalanche
Ama Dablam,1979,Autumn,M,FALSE,FALSE,Avalanche
Ama Dablam,1979,Autumn,M,FALSE,TRUE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1979,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1980,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1980,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1980,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,FALSE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,FALSE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,FALSE,FALSE,NA
Ama Dablam,1981,Spring,M,FALSE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,FALSE,FALSE,NA
Ama Dablam,1981,Spring,M,TRUE,FALSE,NA
Ama Dablam,1981,Spring,M,FALSE,FALSE,NA
Ama Dablam,1981,Spring,M,FALSE,FALSE,NA
Ama Dablam,1981,Spring,F,FALSE,FALSE,NA
Ama Dablam,1981,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1981,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1981,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1981,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1981,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1981,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1981,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1981,Autumn,F,FALSE,FALSE,NA
Ama Dablam,1981,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1981,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1981,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1981,Autumn,M,FALSE,FALSE,Exposure / frostbite
Ama Dablam,1981,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1981,Autumn,M,FALSE,FALSE,NA
Ama Dablam,1982,Spring,F,TRUE,FALSE,NA
Ama Dablam,1982,Spring,F,FALSE,FALSE,NA
Ama Dablam,1982,Spring,F,TRUE,FALSE,NA
Ama Dablam,1982,Spring,F,TRUE,FALSE,NA
Ama Dablam,1982,Spring,F,TRUE,FALSE,NA
Ama Dablam,1982,Spring,F,TRUE,FALSE,NA
Ama Dablam,1982,Spring,F,TRUE,FALSE,NA
Ama Dablam,1982,Spring,F,TRUE,FALSE,NA
Ama Dablam,1982,Spring,F,TRUE,FALSE,NA
Ama Dablam,1982,Winter,M,FALSE,FALSE,NA
Ama Dablam,1982,Winter,M,FALSE,FALSE,NA
Ama Dablam,1982,Winter,M,FALSE,FALSE,NA
Ama Dablam,1982,Winter,M,FALSE,FALSE,NA
Ama Dablam,1982,Winter,M,FALSE,FALSE,NA
Ama Dablam,1982,Winter,M,FALSE,FALSE,NA
Ama Dablam,1983,Spring,M,TRUE,FALSE,Exposure / frostbite
Ama Dablam,1983,Spring,M,TRUE,FALSE,NA
Ama Dablam,1983,Spring,M,FALSE,FALSE,NA
Ama Dablam,1983,Spring,M,FALSE,FALSE,NA
Ama Dablam,1983,Spring,M,FALSE,FALSE,NA
Ama Dablam,1983,Spring,M,TRUE,FALSE,NA
Ama Dablam,1983,Spring,M,TRUE,FALSE,NA
Ama Dablam,1983,Spring,F,FALSE,FALSE,NA
Ama Dablam,1983,Spring,F,FALSE,FALSE,NA
Ama Dablam,1983,Spring,M,FALSE,FALSE,NA
Ama Dablam,1983,Autumn,F,TRUE,FALSE,NA
Ama Dablam,1983,Autumn,M,TRUE,FALSE,NA
Ama Dablam,1983,Autumn,M,FALSE,TRUE,NA
Ama Dablam,1983,Autumn,F,FALSE,FALSE,NA
Ama Dablam,1983,Autumn,M,TRUE,FALSE,NA
